订单号,下单日期,商品ID,商品名称,类目,销售渠道,城市,单价,数量,实付金额,成本,支付方式
SO20250000,2025-04-02,P0011,保湿面霜,美妆个护,抖音小店,重庆,99.72,4,358.99,293.64,银行卡
SO20250001,2025-04-07,P0002,智能手表,数码家电,天猫旗舰店,苏州,589.19,5,2651.36,86.25,银行卡
SO20250002,2025-02-19,P0021,记忆枕,家居生活,天猫旗舰店,北京,502.45,3,1507.35,731.07,微信支付
SO20250003,2025-01-26,P0025,收纳箱,家居生活,拼多多,杭州,245.72,1,233.43,287.59,花呗
SO20250004,2025-04-01,P0021,记忆枕,家居生活,京东自营,杭州,670.61,2,1341.22,487.38,支付宝
SO20250005,2025-02-11,P0020,零食大礼包,食品生鲜,拼多多,武汉,515.28,5,2447.58,59.4,银行卡
SO20250006,2025-01-15,P0021,记忆枕,家居生活,京东自营,北京,556.77,2,1113.54,487.38,银行卡
SO20250007,2025-03-22,P0013,电动牙刷,美妆个护,京东自营,南京,228.84,2,457.68,35.4,花呗
SO20250008,2025-03-05,P0021,记忆枕,家居生活,线下门店,苏州,377.9,3,1077.01,731.07,银行卡
SO20250009,2025-04-03,P0024,四件套,家居生活,京东自营,广州,475.98,5,2022.91,275.45,花呗
SO20250010,2025-06-10,P0003,便携充电宝,数码家电,京东自营,武汉,609.51,1,579.03,89.76,支付宝
SO20250011,2025-03-06,P0013,电动牙刷,美妆个护,线下门店,北京,317.66,4,1270.64,70.8,支付宝
SO20250012,2025-01-29,P0022,保温杯,家居生活,抖音小店,武汉,710.13,3,2130.39,637.38,微信支付
SO20250013,2025-02-15,P0015,面膜,美妆个护,线下门店,上海,22.53,3,67.59,595.41,银行卡
SO20250014,2025-04-06,P0021,记忆枕,家居生活,京东自营,苏州,415.98,2,790.36,487.38,支付宝
SO20250015,2025-04-03,P0020,零食大礼包,食品生鲜,抖音小店,深圳,272.84,1,245.56,11.88,支付宝
SO20250016,2025-05-05,P0008,双肩背包,服饰鞋包,天猫旗舰店,苏州,704.85,1,634.37,35.21,微信支付
SO20250017,2025-03-09,P0005,机械键盘,数码家电,线下门店,重庆,534.61,5,2539.4,1117.9,花呗
SO20250018,2025-04-13,P0007,休闲运动鞋,服饰鞋包,抖音小店,南京,744.55,2,1489.1,537.46,花呗
SO20250019,2025-01-06,P0004,4K 显示器,数码家电,线下门店,苏州,213.37,1,213.37,74.73,微信支付
SO20250020,2025-02-28,P0019,水果拼盘,食品生鲜,天猫旗舰店,北京,191.77,1,172.59,244.73,银行卡
SO20250021,2025-02-24,P0003,便携充电宝,数码家电,线下门店,广州,421.04,3,1073.65,269.28,花呗
SO20250022,2025-01-25,P0008,双肩背包,服饰鞋包,天猫旗舰店,武汉,632.0,4,2401.6,140.84,银行卡
SO20250023,2025-01-16,P0014,洗发水,美妆个护,拼多多,成都,340.66,1,306.59,67.66,支付宝
SO20250024,2025-02-05,P0008,双肩背包,服饰鞋包,拼多多,广州,169.44,5,720.12,176.05,银行卡
SO20250025,2025-05-21,P0015,面膜,美妆个护,天猫旗舰店,北京,214.85,1,182.62,198.47,支付宝
SO20250026,2025-04-15,P0003,便携充电宝,数码家电,拼多多,南京,742.57,2,1410.88,179.52,微信支付
SO20250027,2025-01-01,P0013,电动牙刷,美妆个护,拼多多,杭州,723.91,2,1230.65,35.4,花呗
SO20250028,2025-02-09,P0010,羽绒服,服饰鞋包,京东自营,杭州,349.95,5,1487.29,93.2,微信支付
SO20250029,2025-03-22,P0002,智能手表,数码家电,天猫旗舰店,北京,471.76,5,2122.92,86.25,花呗
SO20250030,2025-01-15,P0017,咖啡豆,食品生鲜,线下门店,上海,737.12,5,3501.32,369.65,微信支付
SO20250031,2025-01-31,P0003,便携充电宝,数码家电,线下门店,深圳,484.13,2,823.02,179.52,支付宝
SO20250032,2025-05-14,P0020,零食大礼包,食品生鲜,抖音小店,杭州,83.95,5,419.75,59.4,微信支付
SO20250033,2025-04-12,P0022,保温杯,家居生活,京东自营,杭州,578.63,2,1157.26,424.92,花呗
SO20250034,2025-04-28,P0011,保湿面霜,美妆个护,线下门店,重庆,744.63,1,670.17,73.41,支付宝
SO20250035,2025-02-03,P0003,便携充电宝,数码家电,抖音小店,上海,439.35,5,2196.75,448.8,微信支付
SO20250036,2025-06-30,P0012,防晒霜,美妆个护,抖音小店,重庆,242.29,4,969.16,626.2,支付宝
