客户ID,昵称,城市,注册日期,累计消费,订单数,最近购买日期,会员等级
C1000,用户85513,上海,2025-05-31,8538.51,17,2025-05-03,银卡会员
C1001,用户47128,重庆,2025-01-22,17541.49,27,2025-03-07,银卡会员
C1002,用户10932,重庆,2025-01-02,10474.69,34,2025-01-02,钻石会员
C1003,用户36924,成都,2025-06-17,8206.46,7,2025-02-09,钻石会员
C1004,用户86725,杭州,2025-06-16,5262.99,35,2025-04-19,金卡会员
C1005,用户46118,武汉,2025-06-06,15111.69,27,2025-05-22,钻石会员
C1006,用户58524,苏州,2025-02-15,11120.48,17,2025-03-20,金卡会员
C1007,用户62183,广州,2025-06-30,17107.23,43,2025-01-31,银卡会员
C1008,用户31206,上海,2025-04-25,4328.44,26,2025-03-28,普通会员
C1009,用户61000,北京,2025-02-11,16097.17,53,2025-02-07,钻石会员
C1010,用户67065,上海,2025-06-03,1328.41,15,2025-04-05,普通会员
C1011,用户14948,武汉,2025-06-05,18617.17,26,2025-06-07,金卡会员
C1012,用户17531,广州,2025-06-02,12823.81,29,2025-01-03,银卡会员
C1013,用户77915,杭州,2025-06-18,3935.19,51,2025-06-03,银卡会员
C1014,用户32214,北京,2025-06-07,7226.81,42,2025-01-01,银卡会员
C1015,用户46167,武汉,2025-01-23,7094.9,26,2025-04-14,银卡会员
C1016,用户12014,上海,2025-05-13,18387.59,36,2025-03-14,金卡会员
C1017,用户46242,深圳,2025-03-30,12146.95,13,2025-04-27,钻石会员
C1018,用户10609,杭州,2025-05-28,3541.94,33,2025-01-28,普通会员
C1019,用户48568,成都,2025-05-09,18942.96,52,2025-05-12,金卡会员
C1020,用户85352,杭州,2025-05-18,13899.13,25,2025-05-25,钻石会员
C1021,用户54520,南京,2025-03-04,13647.81,58,2025-05-31,普通会员
C1022,用户25239,杭州,2025-05-04,1397.71,41,2025-02-26,银卡会员
C1023,用户64057,成都,2025-03-22,10354.26,1,2025-06-29,金卡会员
C1024,用户47655,上海,2025-03-05,8008.67,48,2025-03-29,普通会员
C1025,用户33394,南京,2025-05-22,6311.76,14,2025-05-27,金卡会员
C1026,用户99536,深圳,2025-02-16,10005.04,13,2025-03-02,银卡会员
C1027,用户37102,深圳,2025-03-09,4095.19,16,2025-06-08,金卡会员
C1028,用户23983,上海,2025-02-09,18407.75,44,2025-06-19,钻石会员
C1029,用户10868,苏州,2025-06-07,19161.96,55,2025-05-04,金卡会员
C1030,用户51342,南京,2025-06-08,17967.52,57,2025-05-28,金卡会员
C1031,用户33969,苏州,2025-05-06,5641.32,15,2025-05-28,银卡会员
C1032,用户78909,武汉,2025-01-14,9592.49,35,2025-01-09,金卡会员
C1033,用户99959,广州,2025-04-11,9171.06,8,2025-06-28,钻石会员
C1034,用户11103,北京,2025-03-22,13498.36,25,2025-05-29,普通会员
C1035,用户57395,重庆,2025-03-25,17243.75,12,2025-05-21,金卡会员
