商品ID,商品名称,类目,成本价
P0001,无线蓝牙耳机,数码家电,195.43
P0002,智能手表,数码家电,17.25
P0003,便携充电宝,数码家电,89.76
P0004,4K 显示器,数码家电,74.73
P0005,机械键盘,数码家电,223.58
P0006,纯棉 T 恤,服饰鞋包,206.24
P0007,休闲运动鞋,服饰鞋包,268.73
P0008,双肩背包,服饰鞋包,35.21
P0009,牛仔裤,服饰鞋包,132.36
P0010,羽绒服,服饰鞋包,18.64
P0011,保湿面霜,美妆个护,73.41
P0012,防晒霜,美妆个护,156.55
P0013,电动牙刷,美妆个护,17.7
P0014,洗发水,美妆个护,67.66
P0015,面膜,美妆个护,198.47
P0016,坚果礼盒,食品生鲜,168.03
P0017,咖啡豆,食品生鲜,73.93
P0018,有机牛奶,食品生鲜,180.89
P0019,水果拼盘,食品生鲜,244.73
P0020,零食大礼包,食品生鲜,11.88
P0021,记忆枕,家居生活,243.69
P0022,保温杯,家居生活,212.46
P0023,香薰蜡烛,家居生活,108.67
P0024,四件套,家居生活,55.09
P0025,收纳箱,家居生活,287.59
